Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
47,Estimates,Middle Africa,,911,Subregion,947,6287.571,7005.187,7806.831,8800.562,10039.755,11516.129,13307.613,15360.027,17839.784,20505.875,23523.164,27060.032,30446.091,33325.052,36399.47,39670.765,42918.811,45824.719,48403.882,50563.007,52516.381,54326.107,55935.017,57275.94,58340.238,59052.998,59371.047,59643.04,59692.718,59554.556
48,Estimates,Angola,,24,Country,911,1162.277,1310.475,1352.662,1444.232,1657.154,1924.231,2305.794,2767.025,3209.497,3678.195,4284.384,5004.301,5661.645,6215.232,6940.19,7769.262,8636.127,9475.25,10320.659,11118.279,11916.389,12721.021,13517.849,14248.573,14951.941,15576.013,16124.533,16688.617,17160.917,17504.367
49,Estimates,Cameroon,,120,Country,911,951.896,1038.187,1185.083,1363.252,1570.733,1829.962,2170.997,2497.601,2775.47,3044.693,3421.185,3835.062,4175.895,4437.254,4717.374,5021.613,5316.235,5602.334,5866.456,6109.791,6303.839,6490.661,6660.187,6809.387,6931.778,7011.942,7061.383,7102.226,7080.884,7073.489
50,Estimates,Central African Republic,,140,Country,911,284.156,311.294,338.94,369.729,396.734,432.136,503.496,568.593,625,710.259,789.524,841.457,836.793,825.318,876.763,935.676,967.907,972.393,966.423,963.322,960.073,955.55,947.389,931.562,910.107,885.963,861.833,840.492,817.16,793.057
51,Estimates,Chad,,148,Country,911,608.171,660.482,719.39,797.956,929.485,1062.641,1200.631,1397.919,1664.275,1968.597,2319.988,2648.456,2937.923,3239.404,3530.96,3800.625,4043.337,4252.255,4441.424,4594.552,4730.072,4845.72,4936.917,5004.95,5050.628,5075.134,5067.322,5038.757,4989.774,4928.45
52,Estimates,Congo,,178,Country,911,183.082,204.321,234.249,271.597,314.226,358.155,388.335,424.9,479.28,560.249,650.051,747.953,821.221,857.167,917.255,1000.534,1091.308,1173.642,1247.378,1312.347,1374.602,1436.818,1500.661,1554.725,1609.615,1650.361,1683.114,1709.927,1728.446,1744.604
53,Estimates,Democratic Republic of the Congo,,180,Country,911,2962.02,3337.578,3819.663,4377.256,4982.014,5706.042,6503.34,7430.499,8779.359,10203.576,11676.666,13538.319,15492.085,17168.551,18810.591,20514.035,22209.154,23662.943,24841.648,25717.652,26467.783,27104.891,27596.876,27947.001,28101.392,28067.289,27789.942,27486.727,27150.355,26755.452
54,Estimates,Equatorial Guinea,,226,Country,911,49.435,51.251,53.962,59.636,58.651,54.266,65.249,82.328,95.144,114.338,137.469,164.563,191,215.073,238.356,258.061,272.718,284.872,296.286,305.36,312.111,317.582,320.968,322.264,322.51,321.026,318.678,315.424,311.609,308.108
55,Estimates,Gabon,,266,Country,911,72.368,76.939,87.68,101.971,114.635,130.174,149.176,168.485,186.874,199.032,214.238,248.228,296.88,333.827,333.249,333.56,342.035,359.039,379.802,396.254,404.512,405.649,404.753,406.949,410.88,413.445,412.182,408.838,401.71,395.668
56,Estimates,Sao Tome and Principe,,678,Country,911,14.166,14.66,15.202,14.933,16.123,18.522,20.595,22.677,24.885,26.936,29.659,31.693,32.649,33.226,34.732,37.399,39.99,41.991,43.806,45.45,47,48.215,49.417,50.529,51.387,51.825,52.06,52.032,51.863,51.361
