"country","country_code","age","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Albania",8,100,0,0.224,0.095,0.043,0.021,0.013,0.012,0.013,0.013,0.011,0.013,0.016,0.028,0.03,0.036,0.048,0.076,0.104,0.155,0.231,0.32,0.5,0.788,1.061,1.243,1.438,1.504,1.742,2.654,3.409
"Azerbaijan",31,0,163,260.972,341.27,409.627,378.18,341.407,340.125,389.459,453.074,437.811,341.439,301.1,325.234,398.262,385.193,350.008,320.288,323.354,330.964,325.091,310.393,283.054,275.077,270.534,266.248,258.933,249.141,239.418,231.527,226.053
"Azerbaijan",31,5,124,155.714,251.149,330.445,398.792,370.584,334.572,333.371,382.723,449.195,434.396,338.516,299.519,324.308,397.147,384.15,349.172,319.608,322.743,330.4,324.591,309.958,282.69,274.752,270.236,265.976,258.685,248.918,239.217,231.343
"Azerbaijan",31,10,210,123.25,154.945,250.022,329.119,397.867,369.924,331.316,333.127,386.561,449.847,435.693,342.036,299.204,323.996,396.718,383.77,348.854,319.339,322.491,330.161,324.371,309.762,282.522,274.6,270.095,265.845,258.565,248.809,239.118
"Azerbaijan",31,15,181,209.227,122.878,154.507,244.355,328.313,396.966,363.889,327.827,337.719,388.876,457.263,441.284,341.85,299.023,323.611,396.279,383.373,348.515,319.048,322.214,329.895,324.125,309.542,282.333,274.427,269.935,265.698,258.43,248.687
"Azerbaijan",31,20,160,180.312,208.572,122.503,149.055,242.038,327.378,389.722,347.641,330.981,341.941,399.719,464.616,441.129,341.699,298.512,323.087,395.668,382.811,348.028,318.625,321.809,329.501,323.759,309.212,282.049,274.167,269.694,265.475,258.226
"Azerbaijan",31,25,105,159.317,179.676,207.831,122.065,145.014,239.561,319.541,372.185,350.373,333.753,346.851,410.613,464.252,440.733,340.986,297.914,322.465,394.935,382.13,347.434,318.105,321.308,329.013,323.304,308.801,281.694,273.842,269.393,265.195
"Azerbaijan",31,30,72,104.512,158.7,178.959,206.977,118.684,140.891,234.647,311.429,371.752,352.862,332.206,352.035,410.067,463.379,439.514,340.081,297.152,321.67,393.999,381.263,346.68,317.447,320.677,328.401,322.737,308.289,281.255,273.441,269.021
"Azerbaijan",31,35,87,71.607,104.032,157.931,173.041,202.707,115.165,137.24,229.37,305.502,370.962,349.717,331.055,351.139,408.634,461.476,437.784,338.797,296.076,320.554,392.694,380.061,345.643,316.548,319.82,327.575,321.974,307.606,280.671,272.909
"Azerbaijan",31,40,82,86.407,71.19,103.386,151.918,167.466,198.062,112.228,133.297,219.902,299.012,365.526,347.009,329.468,348.971,405.985,458.618,435.192,336.883,294.481,318.913,390.787,378.314,344.145,315.257,318.596,326.399,320.894,306.642,279.849
"Azerbaijan",31,45,89,81.207,85.681,70.544,102.382,145.729,161.265,194.395,108.8,124.123,209.635,293.032,360.488,344.052,325.981,345.305,401.919,454.239,431.238,333.975,292.072,316.445,387.931,375.71,341.919,313.345,316.786,324.666,319.303,305.222
"Azerbaijan",31,50,70,87.517,80.012,84.33,69.365,98.167,138.414,158.781,189.003,100.588,113.893,204.291,286.899,354.972,338.083,320.501,339.775,395.795,447.672,425.332,329.651,288.501,312.798,383.725,371.885,338.658,310.545,314.144,322.138,316.982
"Azerbaijan",31,55,42,67.828,85.079,77.701,81.818,68.601,92.697,135.525,154.15,175.257,91.053,109.568,197.782,278.96,345.321,329.247,312.524,331.738,386.931,438.192,416.831,323.44,283.382,307.583,377.723,366.438,334.014,306.571,310.393,318.549
"Azerbaijan",31,60,52,39.616,64.326,80.666,73.661,79.397,66.367,85.349,129.955,136.14,158.457,85.012,103.786,188.476,266.753,330.821,316.082,300.659,319.832,373.822,424.206,404.307,314.305,275.873,299.948,368.955,358.486,327.261,300.795,304.946
"Azerbaijan",31,65,42,46.912,36.052,58.633,73.651,67.05,74.517,57.424,75.945,108.616,115.228,140.71,77.019,95.605,174.681,248.014,308.663,295.959,282.547,301.63,353.763,402.762,385.076,300.264,264.314,288.182,355.405,346.202,316.794,291.816
